keys,ko,en
INTERACT_BATTLE_ROCK_SPIRIT,바위귀신과 전투,Battle Rock Spirit
ENEMY_ROCK_DEMON,바위귀신,Rock Demon
INTERACT_ROCK_DEMON,바위귀신,Rock Demon
INTERACT_SHRINE,오색제단,Five Colors Altar
INTERACT_SEAL,봉인,Seal
INTERACT_FIRE_SPIRIT,화령,Fire Spirit
INTERACT_LANTERN_PUZZLE,등롱 퍼즐,Lantern Puzzle
LOC_DONGLIM_TEMPLE,동림사,Donglim Temple
LOC_DONGLIM_TEMPLE_DESC,"화령 소동 후 들른 큰 절","A large temple visited after the fire spirit incident"
LOC_MYEONGJU_CITY,명주성,Myeongju City
LOC_MYEONGJU_CITY_DESC,"해상 교역으로 번성한 항구 도시","A prosperous port city thriving on maritime trade"
LOC_THEATER_BACKSTAGE,연희장 뒤편,Theater Backstage
LOC_THEATER_BACKSTAGE_DESC,"가면 창고와 지하 도박굴로 이어진다.","Connected to the mask storage and underground gambling den."
LOC_OBONG_HARBOR,오밍항,Obong Harbor
LOC_OBONG_HARBOR_DESC,"동쪽 바닷길로 나가는 항구","A port leading to the eastern sea route"
NPC_BLUFFING_ELDER,허풍 노인,Braggart Old Man
DIALOGUE_BLUFFING_ELDER_FIRST,첫 만남,First Meeting
DIALOGUE_BLUFFING_ELDER_FIRST_TEXT,"흐음... 승려가 이런 데까지 오다니 드문 일이군.\n비싼 약주나 한 잔 사주겠나? 100금만 내면, 산이 열리는 비결을 알려주지.","Hmm... A monk coming all the way here is rare.\nWill you buy me an expensive rice wine? Just 100 gold, and I'll tell you the secret to opening the mountain."
CHOICE_BUY_WINE,약주를 사준다 (100금),Buy Rice Wine (100 Gold)
DIALOGUE_BLUFFING_ELDER_BUY_WINE,"오호! 제법이군! 자, 약속한 대로 봉인 구절을 알려주지.\n오행의 문을 열려면... '금목수화토, 다시 근원으로'라.\n이 구절을 봉인석 앞에서 외우면 된다.","Oh ho! Not bad! Now, as promised, I'll tell you the seal phrase.\nTo open the Five Elements gate... 'Metal, Wood, Water, Fire, Earth, return to the origin.'\nRecite this in front of the seal stone."
CHOICE_DECLINE,사양한다,Decline
DIALOGUE_BLUFFING_ELDER_DECLINE,"흥, 심통이 없는 승려군. 가거라, 가거라.","Hmph, a monk with no spirit. Go, go."
DIALOGUE_BLUFFING_ELDER_HINT,힌트 전달,Hint Delivery
DIALOGUE_BLUFFING_ELDER_HINT_TEXT,"약주는 잘 마셨다. 약속한 봉인 구절을 알려주지.\n오행의 문을 열려면... '금목수화토, 다시 근원으로'라.\n이 구절을 봉인석 앞에서 외우면 된다.","The wine was good. I'll tell you the promised seal phrase.\nTo open the Five Elements gate... 'Metal, Wood, Water, Fire, Earth, return to the origin.'\nRecite this in front of the seal stone."
CHOICE_LISTEN_HINT,힌트를 듣는다,Listen to Hint
DIALOGUE_BLUFFING_ELDER_RECEIVE_HINT,"이제 네 몫이다. 산으로 가 보거라.","Now it's your turn. Go to the mountain."
DIALOGUE_BLUFFING_ELDER_REPEAT,반복 대화,Repeat Dialogue
DIALOGUE_BLUFFING_ELDER_REPEAT_TEXT,"이미 다 알려줬지? 산으로 가 보거라.","I already told you everything. Go to the mountain."
SHOP_GENERAL_STORE,잡화상,General Store
SHOP_GENERAL_STORE_DESC,"각종 물품을 파는 잡화상입니다.","A general store selling various items."
SHOP_BUY,구매,Buy
SHOP_SELL,판매,Sell
SHOP_CLOSE,닫기,Close
SHOP_COIN_INSUFFICIENT,코인 부족,Insufficient Coins
SHOP_BUY_CONFIRM,"%s을(를) %d 코인에 구매하시겠습니까?","Buy %s for %d coins?"
SHOP_SELL_CONFIRM,"%s을(를) %d 코인에 판매하시겠습니까?","Sell %s for %d coins?"
SHOP_BUY_SUCCESS,구매 완료!,Purchase complete!
SHOP_SELL_SUCCESS,판매 완료!,Sale complete!
SHOP_NO_ITEMS,판매할 아이템이 없습니다.,No items to sell.
SHOP_CANNOT_SELL,이 상점에서는 아이템을 판매할 수 없습니다.,This shop cannot buy items from you.
ITEM_POTION,회복약,Potion
ITEM_ETHER,에테르,Ether
ITEM_ANTIDOTE,해독제,Antidote
ITEM_FIRE_BOMB,화염탄,Fire Bomb
ITEM_SMOKE_BALL,연막탄,Smoke Ball
